Mice;diet_group_ireland;Persistence_EP;Persistence_MP;Persistence_LP;Persistence_increment_EP;Persistence_increment_MP;Persistence_increment_LP;Persistence_evolution_1-6FR1;Persistence_evolution_1-10FR5;Persistence_evolution_11-20FR5;Persistence_evolution_21-30FR5;Persistence_evolution_31-40FR5;Persistence_evolution_41-50FR5;Persistence_evolution_51-60FR5;Persistence_evolution_61-70FR5;Persistence_evolution_71-80FR5;Persistence_evolution_81-92FR5;Motivation_EP;Motivation_MP;Motivation_LP;Effort_total_PR_EP;Effort_total_PR_MP;Effort_total_PR_LP;Compulsivity_EP;Compulsivity_MP;Compulsivity_LP;Pellets_shock_EP;Pellets_shock_MP;Pellets_shock_LP;Impulsivity_EP;Impulsivity_MP;Impulsivity_LP;Impulsivity_increment_EP;Impulsivity_increment_MP;Impulsivity_increment_LP;Impulsivity_evolution_1-6FR1;Impulsivity_evolution_1-10FR5;Impulsivity_evolution_11-20FR5;Impulsivity_evolution_21-30FR5;Impulsivity_evolution_31-40FR5;Impulsivity_evolution_41-50FR5;Impulsivity_evolution_51-60FR5;Impulsivity_evolution_61-70FR5;Impulsivity_evolution_71-80FR5;Impulsivity_evolution_81-92FR5;Inflexibility_EP;Inflexibility_MP;Inflexibility_LP;Flexibility_EP;Flexibility_MP;Flexibility_LP;Reversal_seeking_EP;Reversal_seeking_MP;Reversal_seeking_LP;Reversal_accuracy_EP;Reversal_accuracy_MP;Reversal_accuracy_LP;Reversal_error_percentage_EP;Reversal_error_percentage_MP;Reversal_error_percentage_LP;Appetitive_increment_EP;Appetitive_increment_MP;Appetitive_increment_LP;Appetitive_activestotal_EP;Appetitive_activestotal_MP;Appetitive_activestotal_LP;Appetitive_extinction_EP;Appetitive_extinction_MP;Appetitive_extinction_LP;Appetitive_extinction_crit_EP;Appetitive_extinction_crit_MP;Appetitive_extinction_crit_LP;Appetitive_extinction_percentage_EP;Appetitive_extinction_percentage_MP;Appetitive_extinction_percentage_LP;Appetitive_reinstatement_crit_EP;Appetitive_reinstatement_crit_MP;Appetitive_reinstatement_crit_LP;Appetitive_reinstatement_percentage_EP;Appetitive_reinstatement_percentage_MP;Appetitive_reinstatement_percentage_LP;Aversive_EP;Aversive_MP;Aversive_LP;Aversive_seeking_EP;Aversive_seeking_MP;Aversive_seeking_LP;Aversive_suppression_EP;Aversive_suppression_MP;Aversive_suppression_LP;Reinforcement_EP;Reinforcement_MP;Reinforcement_LP;Reinforcement_increment_EP;Reinforcement_increment_MP;Reinforcement_increment_LP;Reinforcement_evolution_1-6FR1;Reinforcement_evolution_1-10FR5;Reinforcement_evolution_11-20FR5;Reinforcement_evolution_21-30FR5;Reinforcement_evolution_31-40FR5;Reinforcement_evolution_41-50FR5;Reinforcement_evolution_51-60FR5;Reinforcement_evolution_61-70FR5;Reinforcement_evolution_71-80FR5;Reinforcement_evolution_81-92FR5;Criteria_EP;Criteria_MP;Criteria_LP;Addiction_prediction_EP;Addiction_prediction_MP;Addiction_categorization_LP;Body weight_EP;Body weight_MP;Body weight_LP;Body weight_increment_EP;Body weight_increment_MP;Body weight_increment_LP;Acquisition_day;Acquisition_reinforcers;Acquisition_discrimination;Acquisition_stability
1A;Control;17,00;20,33;3,67;6,33;9,67;-7,00;6,67;18,65;13,00;19,50;14,80;14,95;8,10;19,00;7,50;7,38;120;75;90;534;287;355;3;1;1;1;0;1;14,67;34,67;24,00;0,33;20,33;9,67;21,00;19,65;22,50;42,10;34,80;30,00;32,00;41,40;40,60;28,08;139;163;92;20;38;18;159;201;110;12,58;18,91;16,36;87,42;81,09;83,64;27;39;3;94;72;32;114;85;83;No;Yes;Yes;-65,00;86,27;85,00;No;Yes;No;81,82;557,14;50,00;12,8;59;71;21;65;81;90,30;37,23;56,44;17,03;16,63;18,60;13,33;10,03;9,63;20,33;14,75;21,40;20,10;17,20;16,65;22,90;25,40;17,60;19,92;0;0;0;Res;Res;NA;27,64;32,95;35,33;2,24;6,73;9,01;11;12,33;89,16;90,99
2A;Control;29,33;30,67;13,33;4,33;5,67;-11,67;4,83;44,25;24,50;15,20;15,50;27,80;13,10;11,50;7,10;23,25;300;180;225;1771;858;1202;7;2;0;1;0;0;66,67;88,00;50,67;-3,00;18,33;-19,00;28,17;196,30;128,10;54,60;52,80;95,10;41,00;56,30;47,50;90,08;160;156;220;27;59;13;187;215;233;14,44;27,44;5,58;85,56;72,56;94,42;98;80;-42;204;229;136;241;168;318;No;No;No;54,55;27,91;12,33;Yes;Yes;No;217,78;258,06;-65,63;12,8;9;123;21;12;139;96,88;96,02;60,83;34,80;27,90;27,93;-5,33;17,47;10,57;12,00;32,40;33,70;22,30;20,00;29,05;27,80;27,30;24,90;29,50;2;0;0;Vul;Res;NA;29,07;31,28;32,63;0,84;2,57;4,31;9;17,33;94,13;93,59
1B;Control;20,00;16,33;8,00;2,67;-1,00;-9,33;10,33;24,85;39,00;24,50;14,80;16,20;24,70;16,00;12,70;12,75;260;300;155;1456;1613;621;6;1;1;4;1;0;83,00;79,67;45,00;31,67;28,33;-6,33;40,83;61,55;60,80;81,50;58,90;85,15;55,30;60,20;53,90;77,75;308;116;208;23;15;29;331;131;237;6,95;11,45;12,24;93,05;88,55;87,76;71;81;202;183;186;309;264;237;187;No;Yes;Yes;65,14;90,91;88,10;Yes;Yes;Yes;186,84;623,08;1346,67;14;90;18;21;98;30;92,51;49,44;96,65;30,90;37,37;39,40;9,50;4,90;11,37;35,50;30,15;32,50;27,70;29,20;36,75;41,60;39,90;31,90;42,42;1;1;0;Res;Res;NA;23,25;27,44;27,67;1,74;4,34;4,95;5;49,00;92,46;89,12
2B;Control;20,00;15,33;10,00;12,33;7,67;2,33;7,67;14,10;20,50;12,00;8,90;14,85;7,30;16,80;9,20;9,96;120;180;155;563;852;632;6;2;0;2;0;0;31,00;76,33;82,33;15,67;61,00;67,00;36,83;26,35;29,80;41,10;21,40;58,90;18,30;36,20;33,60;41,17;128;84;175;18;12;15;146;96;190;12,33;12,50;7,89;87,67;87,50;92,11;11;3;13;125;63;103;124;15;170;No;No;No;8,57;-400,00;14,89;No;No;No;34,38;60,00;32,50;13;1;118;17;2;132;88,98;99,32;40,70;19,30;23,40;27,70;11,33;6,63;10,73;24,00;18,65;22,40;19,70;15,20;30,60;18,40;26,50;26,90;28,21;1;0;0;Res;Res;NA;26,22;32,05;35,87;2,79;6,99;10,44;13;17,83;93,42;93,15
2C;Control;6,67;2,67;13,67;1,67;-2,33;8,67;5,83;17,15;9,90;5,60;4,80;5,40;4,40;3,00;5,40;11,92;120;155;180;408;695;800;6;2;1;1;0;0;10,33;20,33;37,00;4,67;14,67;31,33;13,17;27,80;45,50;28,20;22,70;24,90;14,60;11,10;22,00;43,00;80;59;87;30;13;11;110;72;98;27,27;18,06;11,22;72,73;81,94;88,78;35;18;39;136;59;91;96;85;56;No;No;No;-50,00;58,33;63,64;Yes;Yes;Yes;116,67;120,00;975,00;24;38;56;44;61;60;84,21;47,95;49,09;18,50;15,27;18,83;5,33;9,83;6,60;14,00;17,75;19,40;14,00;14,80;14,60;15,80;13,30;15,90;19,38;1;0;0;Res;Res;NA;26,83;29,79;30,99;2,03;3,7;6,03;15;24,50;93,16;90,48
3D;Control;3,33;15,67;16,67;-1,67;10,67;11,67;11,00;6,85;12,10;16,00;9,30;16,10;12,30;19,20;16,10;18,54;90;120;120;370;492;494;3;1;1;2;0;0;8,33;43,33;23,00;-1,67;33,33;13,00;54,67;18,70;29,40;29,60;23,20;52,40;52,30;90,00;35,50;45,29;110;156;216;62;9;39;172;165;255;36,05;5,45;15,29;63,95;94,55;84,71;47;0;-4;95;119;42;82;168;188;No;No;No;22,22;-228,57;64,18;Yes;No;No;335,71;0,00;-16,67;12;148;124;21;151;136;86,05;24,10;16,78;9,90;24,13;23,40;22,50;4,90;19,13;27,50;7,65;15,40;16,30;15,20;24,90;27,80;37,30;21,80;24,33;0;0;0;Res;Res;NA;27,03;31,06;34,38;2,59;5,97;9,45;15;11,67;90,01;90,48
1C;Control;0,00;2,33;0,00;0,00;2,33;0,00;0,00;0,30;0,10;0,60;0,70;1,05;0,00;0,00;1,10;1,75;150;33;90;850;120;317;0;1;3;0;0;1;0,33;0,33;5,67;0,00;0,00;5,33;0,00;0,10;0,00;0,10;0,20;0,30;0,80;0,50;0,90;7,42;3;10;77;13;7;6;16;17;83;81,25;41,18;7,23;18,75;58,82;92,77;31,71;1;-7;139,5;13;37;153,5;20;67;No;Yes;No;25,83;72,73;23,53;Yes;No;No;150,52;33,33;-53,85;1;11;4;2;17;9;83,33;52,17;95,40;1,27;2,77;12,00;-1,00;-1,07;0,43;1,33;1,40;1,00;1,00;1,20;2,45;4,00;2,70;6,40;13,00;1;0;1;Res;Res;NA;26,85;29,17;30,10;2;4,01;4,6;20;1,00;90,48;100,00
5A;Non_Addict;19,67;20,67;15,33;8,33;9,33;4,00;22,17;51,25;76,00;85,80;56,30;38,60;58,30;30,60;14,00;4,96;260;300;180;1276;1856;817;6;0;1;2;0;1;41,67;543,67;96,67;9,67;511,67;64,67;84,67;170,35;240,90;313,70;357,30;459,70;196,50;148,40;126,30;100,79;554;565;386;20;227;251;574;792;637;3,48;28,66;39,40;96,52;71,34;60,60;68;93;83;358;259;363;373;540;216;No;Yes;Yes;-27,63;84,98;92,05;No;Yes;Yes;70,10;211,36;691,67;96;341;221;150;341;221;87,11;43,64;40,43;51,37;69,53;31,37;19,83;29,03;47,20;42,17;45,45;53,80;56,00;60,30;73,00;51,60;45,30;37,00;32,29;1;1;0;Res;Res;NA;27,20;30,11;31,91;1,3;3,8;4,71;6;66,33;100,00;93,63
6A;;26,67;22,67;15,00;4,33;0,33;-7,33;12,50;24,25;34,80;25,70;22,40;29,25;29,10;25,10;17,50;10,46;225;155;155;1129;742;734;11;5;1;4;0;0;176,33;85,33;92,00;28,67;-62,33;-55,67;68,83;176,80;111,70;89,60;102,70;146,50;93,20;117,80;99,50;90,13;266;413;161;28;39;18;294;452;179;9,52;8,63;10,06;90,48;91,37;89,94;183;64;10;267;99;132;222;204;189;No;Yes;No;66,67;94,57;68,04;Yes;Yes;No;795,65;1280,00;32,26;86;232;227;98;240;243;74,17;29,48;24,08;44,00;39,67;39,67;-9,50;2,33;-2,00;32,17;45,20;38,20;33,15;34,00;38,80;39,70;46,00;45,70;39,42;1;1;0;Res;Res;NA;27,88;30,34;32,63;0,01;2,79;4,45;4;31,67;93,63;86,67
9A;;54,67;27,67;23,67;17,33;-9,67;-13,67;11,50;38,40;16,10;17,60;25,10;19,95;20,30;24,00;38,30;17,21;350;225;260;1887;1083;1442;7;5;1;3;0;0;71,33;74,67;138,67;21,00;24,33;88,33;56,00;89,00;56,10;61,30;79,80;103,60;82,60;116,30;126,40;116,21;180;306;189;23;17;6;203;323;195;11,33;5,26;3,08;88,67;94,74;96,92;17;79;-8;96;164;74;165;251;144;No;Yes;Yes;6,25;74,22;79,07;No;Yes;No;56,67;239,39;-44,44;83;53;122;87;64;122;65,13;81,00;61,15;26,43;36,50;35,00;-4,00;1,10;11,17;21,33;27,55;23,80;25,10;32,00;38,55;26,70;40,50;35,50;35,42;3;1;0;Vul;Res;NA;27,87;31,63;33,03;0,78;4,24;5,71;5;26,00;99,12;87,18
