mouse_id;Persistence_LP;Motivation_LP;Compulsivity_LP;Impulsivity_LP;Inflexibility_LP;Flexibility_LP;Appetitive_increment_LP;Aversive_LP
5A;15,33;180;1;96,67;386;251;83;221
6A;15,00;155;1;92,00;161;18;10;227
9A;23,67;260;1;138,67;189;6;-8;122
12A;14,00;180;0;98,33;0;5;-28;126
13A;5,00;180;0;80,67;284;290;0;138
3B;16,67;260;1;80,00;192;136;46;119
4B;12,00;155;0;15,00;118;12;-2;48
5B;4,00;180;1;44,67;243;38;10;67
8B;18,00;260;1;107,33;504;157;23;185
9B;16,33;300;1;84,33;261;7;204;196
10B;6,33;120;0;44,67;57;5;-1;52
12B;20,00;225;1;59,67;147;5;221;206
4C;7,00;120;1;131,00;187;17;1;66
5C;7,33;260;1;105,67;415;67;-9;37
7C;11,00;180;1;143,67;78;9;6;106
9C;0,67;225;1;54,67;182;14;113;98
10C;4,00;260;1;74,00;150;5;68;10
1D;25,67;225;1;72,00;250;412;354;108
2D;4,67;260;1;31,33;135;5;71;182
4D;18,67;300;0;37,33;158;12;8;134
5D;16,00;225;1;55,33;192;263;76;45
7D;13,33;180;1;57,67;178;7;117;143
8D;17,00;225;1;58,33;254;48;197;193
13D;15,00;155;1;9,00;171;210;15;124
3A;8,00;155;2;23,00;134;41;-14;174
4A;34,00;180;1;77,67;370;15;58;81
7A;6,67;180;2;41,67;397;28;-1;153
8A;0,00;180;3;0,00;28;20;25;54
6B;31,33;225;1;67,67;277;138;8;110
11B;9,33;155;3;110,00;236;226;-6;136
3C;23,33;465;1;29,00;287;129;296;267
6C;12,33;540;1;221,67;439;288;19;320
12C;15,33;90;4;82,00;253,84;110,72;3;246
14C;15,67;410;1;76,67;291;16;133;7
15C;18,33;225;2;18,00;72;6;-17;208
6D;6,33;260;5;52,67;276;21;252;193
10D;30,33;260;0;99,00;236;481;59;286
15D;32,67;300;1;83,67;200;44;144;111
15A;37,33;465;1;252,33;276;14;268;184
11C;24,00;300;2;126,00;301;205;232;209
7B;11,33;350;2;153,33;493;6;63;145
13B;49,33;540;1;137,33;528;152;78;202
14B;39,67;465;1;93,00;589;173;96;260
15B;13,00;630;2;83,67;166;6;164;290
13C;55,00;465;1;181,33;218;330;0;162
11D;8,00;540;2;54,00;522;146;284;246
12D;35,67;260;2;106,67;138;7;81;152
14D;34,67;350;1;283,33;233;10;31;168
14A;47,33;350;2;171,67;432;256;0;152,38
8C;31,33;350;2;146,67;333;450;213;145
9D;38,67;465;3;163,00;328;329;254;157
