mouse_id;diet_group_ireland;Persistence_EP;Persistence_MP;Persistence_LP;Persistence_increment_EP;Persistence_increment_MP;Persistence_increment_LP;Persistence_evolution_1-6FR1;Persistence_evolution_1-10FR5;Persistence_evolution_11-20FR5;Persistence_evolution_21-30FR5;Persistence_evolution_31-40FR5;Persistence_evolution_41-50FR5;Persistence_evolution_51-60FR5;Persistence_evolution_61-70FR5;Persistence_evolution_71-80FR5;Persistence_evolution_81-92FR5;Motivation_EP;Motivation_MP;Motivation_LP;Effort_total_PR_EP;Effort_total_PR_MP;Effort_total_PR_LP;Compulsivity_EP;Compulsivity_MP;Compulsivity_LP;Pellets_shock_EP;Pellets_shock_MP;Pellets_shock_LP;Impulsivity_EP;Impulsivity_MP;Impulsivity_LP;Impulsivity_increment_EP;Impulsivity_increment_MP;Impulsivity_increment_LP;Impulsivity_evolution_1-6FR1;Impulsivity_evolution_1-10FR5;Impulsivity_evolution_11-20FR5;Impulsivity_evolution_21-30FR5;Impulsivity_evolution_31-40FR5;Impulsivity_evolution_41-50FR5;Impulsivity_evolution_51-60FR5;Impulsivity_evolution_61-70FR5;Impulsivity_evolution_71-80FR5;Impulsivity_evolution_81-92FR5;Inflexibility_EP;Inflexibility_MP;Inflexibility_LP;Flexibility_EP;Flexibility_MP;Flexibility_LP;Reversal_seeking_EP;Reversal_seeking_MP;Reversal_seeking_LP;Reversal_accuracy_EP;Reversal_accuracy_MP;Reversal_accuracy_LP;Reversal_error_percentage_EP;Reversal_error_percentage_MP;Reversal_error_percentage_LP;Appetitive_increment_EP;Appetitive_increment_MP;Appetitive_increment_LP;Appetitive_activestotal_EP;Appetitive_activestotal_MP;Appetitive_activestotal_LP;Appetitive_extinction_EP;Appetitive_extinction_MP;Appetitive_extinction_LP;Appetitive_extinction_percentage_EP;Appetitive_extinction_percentage_MP;Appetitive_extinction_percentage_LP;Appetitive_reinstatement_percentage_EP;Appetitive_reinstatement_percentage_MP;Appetitive_reinstatement_percentage_LP;Aversive_EP;Aversive_MP;Aversive_LP;Aversive_seeking_EP;Aversive_seeking_MP;Aversive_seeking_LP;Aversive_suppression_EP;Aversive_suppression_MP;Aversive_suppression_LP;Reinforcement_EP;Reinforcement_MP;Reinforcement_LP;Reinforcement_increment_EP;Reinforcement_increment_MP;Reinforcement_increment_LP;Reinforcement_evolution_1-6FR1;Reinforcement_evolution_1-10FR5;Reinforcement_evolution_11-20FR5;Reinforcement_evolution_21-30FR5;Reinforcement_evolution_31-40FR5;Reinforcement_evolution_41-50FR5;Reinforcement_evolution_51-60FR5;Reinforcement_evolution_61-70FR5;Reinforcement_evolution_71-80FR5;Reinforcement_evolution_81-92FR5;Addiction_categorization_LP;Body weight_EP;Body weight_MP;Body weight_LP;Body weight_increment_EP;Body weight_increment_MP;Body weight_increment_LP;Acquisition_day;Acquisition_reinforcers;Acquisition_discrimination;Acquisition_stability
1A;Control;17;20,33;3,67;6,33;9,67;-7;6,67;18,65;13;19,5;14,8;14,95;8,1;19;7,5;7,38;120;75;90;534;287;355;3;1;1;1;0;1;14,67;34,67;24;0,33;20,33;9,67;21;19,65;22,5;42,1;34,8;30;32;41,4;40,6;28,08;139;163;92;20;38;18;159;201;110;12,58;18,91;16,36;87,42;81,09;83,64;27;39;3;94;72;32;114;85;83;-65;86,27;85;81,82;557,14;50;12,8;59;71;21;65;81;90,3;37,23;56,44;17,03;16,63;18,6;13,33;10,03;9,63;20,33;14,75;21,4;20,1;17,2;16,65;22,9;25,4;17,6;19,92;NA;27,64;32,95;35,33;2,24;6,73;9,01;11;12,33;89,16;90,99
2A;Control;29,33;30,67;13,33;4,33;5,67;-11,67;4,83;44,25;24,5;15,2;15,5;27,8;13,1;11,5;7,1;23,25;300;180;225;1771;858;1202;7;2;0;1;0;0;66,67;88;50,67;-3;18,33;-19;28,17;196,3;128,1;54,6;52,8;95,1;41;56,3;47,5;90,08;160;156;220;27;59;13;187;215;233;14,44;27,44;5,58;85,56;72,56;94,42;98;80;-42;204;229;136;241;168;318;54,55;27,91;12,33;217,78;258,06;-65,63;12,8;9;123;21;12;139;96,88;96,02;60,83;34,8;27,9;27,93;-5,33;17,47;10,57;12;32,4;33,7;22,3;20;29,05;27,8;27,3;24,9;29,5;NA;29,07;31,28;32,63;0,84;2,57;4,31;9;17,33;94,13;93,59
1B;Control;20;16,33;8;2,67;-1;-9,33;10,33;24,85;39;24,5;14,8;16,2;24,7;16;12,7;12,75;260;300;155;1456;1613;621;6;1;1;4;1;0;83;79,67;45;31,67;28,33;-6,33;40,83;61,55;60,8;81,5;58,9;85,15;55,3;60,2;53,9;77,75;308;116;208;23;15;29;331;131;237;6,95;11,45;12,24;93,05;88,55;87,76;71;81;202;183;186;309;264;237;187;65,14;90,91;88,1;186,84;623,08;1346,67;14;90;18;21;98;30;92,51;49,44;96,65;30,9;37,37;39,4;9,5;4,9;11,37;35,5;30,15;32,5;27,7;29,2;36,75;41,6;39,9;31,9;42,42;NA;23,25;27,44;27,67;1,74;4,34;4,95;5;49;92,46;89,12
2B;Control;20;15,33;10;12,33;7,67;2,33;7,67;14,1;20,5;12;8,9;14,85;7,3;16,8;9,2;9,96;120;180;155;563;852;632;6;2;0;2;0;0;31;76,33;82,33;15,67;61;67;36,83;26,35;29,8;41,1;21,4;58,9;18,3;36,2;33,6;41,17;128;84;175;18;12;15;146;96;190;12,33;12,5;7,89;87,67;87,5;92,11;11;3;13;125;63;103;124;15;170;8,57;-400;14,89;34,38;60;32,5;13;1;118;17;2;132;88,98;99,32;40,7;19,3;23,4;27,7;11,33;6,63;10,73;24;18,65;22,4;19,7;15,2;30,6;18,4;26,5;26,9;28,21;NA;26,22;32,05;35,87;2,79;6,99;10,44;13;17,83;93,42;93,15
2C;Control;6,67;2,67;13,67;1,67;-2,33;8,67;5,83;17,15;9,9;5,6;4,8;5,4;4,4;3;5,4;11,92;120;155;180;408;695;800;6;2;1;1;0;0;10,33;20,33;37;4,67;14,67;31,33;13,17;27,8;45,5;28,2;22,7;24,9;14,6;11,1;22;43;80;59;87;30;13;11;110;72;98;27,27;18,06;11,22;72,73;81,94;88,78;35;18;39;136;59;91;96;85;56;-50;58,33;63,64;116,67;120;975;24;38;56;44;61;60;84,21;47,95;49,09;18,5;15,27;18,83;5,33;9,83;6,6;14;17,75;19,4;14;14,8;14,6;15,8;13,3;15,9;19,38;NA;26,83;29,79;30,99;2,03;3,7;6,03;15;24,5;93,16;90,48
3D;Control;3,33;15,67;16,67;-1,67;10,67;11,67;11;6,85;12,1;16;9,3;16,1;12,3;19,2;16,1;18,54;90;120;120;370;492;494;3;1;1;2;0;0;8,33;43,33;23;-1,67;33,33;13;54,67;18,7;29,4;29,6;23,2;52,4;52,3;90;35,5;45,29;110;156;216;62;9;39;172;165;255;36,05;5,45;15,29;63,95;94,55;84,71;47;0;-4;95;119;42;82;168;188;22,22;-228,57;64,18;335,71;0;-16,67;12;148;124;21;151;136;86,05;24,1;16,78;9,9;24,13;23,4;22,5;4,9;19,13;27,5;7,65;15,4;16,3;15,2;24,9;27,8;37,3;21,8;24,33;NA;27,03;31,06;34,38;2,59;5,97;9,45;15;11,67;90,01;90,48
1C;Control;0;2,33;0;0;2,33;0;0;0,3;0,1;0,6;0,7;1,05;0;0;1,1;1,75;150;33;90;850;120;317;0;1;3;0;0;1;0,33;0,33;5,67;0;0;5,33;0;0,1;0;0,1;0,2;0,3;0,8;0,5;0,9;7,42;3;10;77;13;7;6;16;17;83;81,25;41,18;7,23;18,75;58,82;92,77;31,71;1;-7;139,5;13;37;153,5;20;67;25,83;72,73;23,53;150,52;33,33;-53,85;1;11;4;2;17;9;83,33;52,17;95,4;1,27;2,77;12;-1;-1,07;0,43;1,33;1,4;1;1;1,2;2,45;4;2,7;6,4;13;NA;26,85;29,17;30,1;2;4,01;4,6;20;1;90,48;100
5A;Non_Addict;19,67;20,67;15,33;8,33;9,33;4;22,17;51,25;76;85,8;56,3;38,6;58,3;30,6;14;4,96;260;300;180;1276;1856;817;6;0;1;2;0;1;41,67;543,67;96,67;9,67;511,67;64,67;84,67;170,35;240,9;313,7;357,3;459,7;196,5;148,4;126,3;100,79;554;565;386;20;227;251;574;792;637;3,48;28,66;39,4;96,52;71,34;60,6;68;93;83;358;259;363;373;540;216;-27,63;84,98;92,05;70,1;211,36;691,67;96;341;221;150;341;221;87,11;43,64;40,43;51,37;69,53;31,37;19,83;29,03;47,2;42,17;45,45;53,8;56;60,3;73;51,6;45,3;37;32,29;NA;27,2;30,11;31,91;1,3;3,8;4,71;6;66,33;100;93,63
6A;;26,67;22,67;15;4,33;0,33;-7,33;12,5;24,25;34,8;25,7;22,4;29,25;29,1;25,1;17,5;10,46;225;155;155;1129;742;734;11;5;1;4;0;0;176,33;85,33;92;28,67;-62,33;-55,67;68,83;176,8;111,7;89,6;102,7;146,5;93,2;117,8;99,5;90,13;266;413;161;28;39;18;294;452;179;9,52;8,63;10,06;90,48;91,37;89,94;183;64;10;267;99;132;222;204;189;66,67;94,57;68,04;795,65;1280;32,26;86;232;227;98;240;243;74,17;29,48;24,08;44;39,67;39,67;-9,5;2,33;-2;32,17;45,2;38,2;33,15;34;38,8;39,7;46;45,7;39,42;NA;27,88;30,34;32,63;0,01;2,79;4,45;4;31,67;93,63;86,67
9A;;54,67;27,67;23,67;17,33;-9,67;-13,67;11,5;38,4;16,1;17,6;25,1;19,95;20,3;24;38,3;17,21;350;225;260;1887;1083;1442;7;5;1;3;0;0;71,33;74,67;138,67;21;24,33;88,33;56;89;56,1;61,3;79,8;103,6;82,6;116,3;126,4;116,21;180;306;189;23;17;6;203;323;195;11,33;5,26;3,08;88,67;94,74;96,92;17;79;-8;96;164;74;165;251;144;6,25;74,22;79,07;56,67;239,39;-44,44;83;53;122;87;64;122;65,13;81;61,15;26,43;36,5;35;-4;1,1;11,17;21,33;27,55;23,8;25,1;32;38,55;26,7;40,5;35,5;35,42;NA;27,87;31,63;33,03;0,78;4,24;5,71;5;26;99,12;87,18
