miRNA;12A;13A;4B;12B;4D;13D;15A;14B;15B;11C;11D;14D
mmu-miR-764-3p;14,45;25,09;11,79;16,18;11,94;9,54;9,76;3,32;6,3;6,59;6,71;4,45
mmu-miR-322-5p;125,73;146,67;115,96;131,34;97,71;103,96;96,2;82,93;68,3;65,89;94,88;96,05
mmu-miR-223-3p;44,8;43,42;35,38;105,65;32,57;22,89;27,88;19,9;13,66;22,59;18,21;24,01
mmu-miR-362-3p;197,26;192,99;139,55;149,43;148,74;141,15;96,2;96,2;63,04;103,54;137,04;131,63
mmu-miR-3085-3p;336,71;250,88;266,33;467,31;226,91;209,82;225,86;194,61;143,94;156,25;175,38;219,68
mmu-miR-30b-5p;9003,79;7411,64;6832,07;7319,97;5412,09;5236,04;4847,69;4507,01;3160,48;4963,17;4835,78;6119,81
mmu-miR-7a-1-3p;283,97;268,25;213,26;207,48;169,37;155,46;168,7;158,12;110,32;133,66;132,25;179,65
mmu-miR-532-5p;4332,46;4879,66;4919,64;4696,93;5722,59;6032,41;5693,98;6360,24;6634,07;7132,74;6547,38;5495,47
mmu-miR-15a-3p;54,91;34,74;33,41;40,93;30,4;32,43;30,67;19,9;17,86;15,06;25,88;30,24
mmu-miR-3071-3p;1765,93;1876,79;2053,95;1939,68;2144,21;2334,76;2569,54;2303,26;2529,02;2468,88;2514,68;2092,71
mmu-miR-7015-3p;57,8;40,53;65,84;55,2;72,74;62,95;86,44;86,25;68,3;95,07;72,83;80,93
mmu-miR-665-3p;495,67;411,06;348,88;285,53;314,85;285,17;249,56;202,35;203,83;193,9;261,63;353,08
mmu-miR-125b-1-3p;970,4;935,98;1117,39;1026,95;1028,13;1151,17;1118,16;1220,74;1276,59;1359,15;1239,13;1093,93
mmu-miR-205-5p;26,01;39,56;37,34;36,17;21,71;27,66;6,97;13,27;21,01;26,35;24,92;14,23
mmu-miR-324-3p;505,07;429,39;377,38;354,05;363,7;330,95;301,15;273,12;246,91;252,25;296,13;399,33
mmu-miR-671-5p;179,19;244,13;183,77;154,18;171,54;145,92;135,24;106,15;101,92;130,83;139,92;174,32
mmu-miR-1966-3p;12,28;8,68;7,86;8,57;15,2;8,58;20,91;19,9;26,27;14,12;16,29;11,56
mmu-miR-369-3p;12678;13426,05;12517,28;9409,08;8972,02;9267,5;8125,49;7061,28;6668,74;8203,87;8511,01;11160,8
mmu-miR-5617-3p;10,12;2,89;8,84;8,57;6,51;11,44;12,55;14,37;22,06;11,29;15,33;14,23
mmu-miR-425-5p;880,08;852,03;804,87;810,9;804,49;739,15;777,97;689,98;654,58;694,64;693,84;779,1
mmu-miR-339-5p;1308,55;1033,44;1029,92;894,65;942,37;857,41;851,87;790,61;534,8;743,58;739,84;965,86
mmu-miR-532-3p;250,73;220,97;247,65;148,47;158,51;149,74;149,18;145,96;98,77;132,72;138;174,32
mmu-miR-99b-3p;1059,99;901,25;1037,78;1163,05;1091,1;1165,47;1310,56;1190,89;1248,22;1260,32;1176,84;1176,65
mmu-miR-129-5p;571,54;425,53;555,25;501,58;609,06;677,16;814,22;760,75;667,19;711,58;738,88;544,3
mmu-miR-15b-5p;113,44;117,72;110,07;86,61;82,51;76,3;69,71;79,61;45,18;69,65;80,5;81,82
mmu-miR-107-3p;2177,79;2339,96;1987,12;1841,65;1464,58;1175,01;1420,71;1211,9;761,75;1089,96;1075,26;1857,91
mmu-miR-212-5p;8057,97;7194,53;7991,72;10113,38;9496,4;11067,21;13434,66;12636,44;10992,34;11261,03;10426,73;9319,79
mmu-miR-29b-3p;3840,4;4182,98;3577,21;3860,33;3103,95;3211,25;3082,61;2711,28;2564,74;3149,4;2926,77;3567,29
mmu-miR-673-3p;174,14;165;171;162,75;196,51;178,35;267,69;269,8;226,95;202,37;191,67;170,76
mmu-miR-301b-3p;15,9;20,26;12,78;16,18;15,2;15,26;12,55;4,42;9,46;13,18;7,67;8,89
mmu-miR-344h-3p;8,67;16,4;11,79;12,37;14,11;11,44;5,58;1,11;3,15;12,24;6,71;7,12
mmu-miR-384-3p;2462,48;2692,16;2416,58;2119,57;1933,59;1917,97;1988,15;1800,15;1607,56;1819,42;1975,14;2020,67
mmu-miR-3552;106,22;97,46;122,84;64,72;98,8;68,67;48,8;30,96;75,65;62,12;72,83;77,38
mmu-miR-29c-3p;2620,72;2813,74;2351,72;2304,21;1952,04;1978,06;1864,07;1601,12;1237,72;1794,95;1819,89;2387,98
mmu-miR-350-3p;339,6;252,81;313,5;228,42;153,08;151,64;115,72;178,02;88,26;186,37;175,38;185,88
mmu-miR-497a-5p;676,31;743,96;583,75;749,99;533,07;443,49;457,3;508,64;364,59;501,68;478,21;563,87
mmu-miR-30a-3p;5356,32;5208,7;5812,96;7083,94;6223,09;6781,1;7005,93;8110,63;6579,44;7673,95;6744,79;7004,74
mmu-miR-487b-3p;5119,32;5007,03;5399,23;4126,82;4202,65;4062,94;4062,74;3738,52;3983,17;3872,27;3844,86;4352,62
mmu-miR-296-5p;451,6;412,99;472,7;208,44;307,25;235,57;139,42;122,74;240,61;240,02;251,08;322,84
mmu-miR-674-3p;3711,06;2657,42;4032,22;3171,26;4195,05;4399,61;6137,34;7283,53;4762,79;4308,07;4110,32;3735,39
mmu-miR-324-5p;349;316,5;299,74;335,02;229,08;218,41;256,54;187,98;142,89;227,78;201,25;275,71
mmu-miR-1198-5p;2322,3;1783,19;2353,69;2113,85;2795,61;2851,69;2955,74;3065,12;2752,81;2913,15;2839,56;2716,16
mmu-miR-409-3p;6526,87;5777,04;6791,78;6024,63;6958,09;7672,85;8514,48;6897,63;8597,82;7817,96;8010,76;6793,96
mmu-miR-770-5p;2409,73;2695,05;2510,93;1794,06;1979,19;1749,16;1553,16;981,9;2019,43;1716,83;1529,51;1940,62
mmu-miR-434-5p;25689,1;24749,52;25669,42;25520,44;25602,39;29091,01;34108,09;30518,53;27231,84;30404,02;30501,07;25657,66
mmu-miR-5106;134,4;102,28;66,83;152,28;97,71;77,25;110,14;154,8;2438,66;124,24;81,46;57,81
mmu-miR-29a-3p;222741,48;212377,49;213849,25;185632,83;184507,24;179315,75;186204,48;166505,09;140490,18;163520,2;159583,66;199377,19
hsa-miR-4443;946,55;484,4;943,44;683,36;808,83;903,19;949,46;2449,22;2473,33;639,1;968,88;780,87
mmu-miR-153-5p;301,31;300,09;307,6;307,42;311,59;338,58;425,24;327,3;360,39;331,32;373,75;334,41
mmu-miR-342-3p;4091,12;3299,1;3561,48;3377,79;2343,97;2287,07;2342,28;2389,51;1867,08;2611,95;2413,1;2942,95
mmu-miR-874-3p;2406,12;2037,93;2322,24;1814,05;2018,27;1982,83;1958,87;1907,41;1696,87;1606,7;1805,51;1919,28
mmu-miR-154-3p;398,13;435,18;352,81;317,89;293,13;297,57;228,65;195,72;171,26;234,37;282,71;402,89
mmu-miR-361-5p;3322,32;3234,45;2918,77;2750,58;2454,71;2358,6;2325,55;1917,36;1791,43;2311,69;2143,81;3063,02
