label;11.s11;12.s12;14.s14;20.s20;23.s23;28.s28;32.s32;34.s34;3.s3;5.s5;6.s6;13.s13;15.s15;16.s16;17.s17;22.s22;24.s24;25.s25;29.s29;30.s30;31.s31;33.s33;7.s7;8.s8
mouse_id;4B;5B;10B;4C;9C;7D;13D;15D;5A;12A;13A;7B;13B;14B;15B;8C;11C;13C;9D;11D;12D;14D;14A;15A
Grouping;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict
Alcaligenaceae;0,22;0,01;1,56;0,06;0,76;0,1;0,18;0,08;1,04;0,34;0,35;0,02;0,02;0;1,21;0,94;2,23;0,41;0,02;0,02;0,87;0,75;0,03;0,03
Anaeroplasmataceae;0;0;0,21;0,01;0;0;0,02;0,07;0;0;0;0;0,07;0,29;0,02;0,01;0,42;0;0,57;0;0;1,66;0,68;0
Bacteroidaceae;1,38;3,86;1,6;2,45;6,7;3,03;1,86;0,26;0,87;0,78;3,7;2,37;1,24;2,23;1,1;1,3;2,43;2,92;0,88;2,63;1,82;0,59;3,78;2,37
Bacteroidales_S247_group;31,23;27,68;21,23;29,42;25,24;34,28;26,61;17,93;26,6;15,35;12,89;14,4;26,33;18,46;16,82;25,16;31,46;24,11;22,82;22,78;31,56;25,29;21,31;20,56
Bifidobacteriaceae;0;0;0;0;0;0;0;0;0,23;0;0,03;0;0;0;0;0;0;0;0,01;0;0;0;0;0
Christensenellaceae;0,51;0,09;0,18;0,2;0,55;0,05;0,03;0,01;1,25;0,02;0,34;0,01;0,08;0,08;0,51;0,05;0,03;0,04;0,15;0,03;0,4;0,05;0,2;0,16
Clostridiaceae_1;0,01;0,04;0,04;0;0,01;0;0;0;0,06;0;0;0;0,08;0;0,01;0,07;0;0,01;0,01;0;0,01;0;0,02;0
Clostridiales_vadinBB60_group;2,46;0,61;2,64;0,59;0,62;0,96;2,25;0,62;0,69;0,8;0,85;0,81;2,32;1,59;1,45;0,33;0,65;3,25;2,19;0,89;4,03;0,77;1,41;1,09
