label;11.s11;12.s12;14.s14;20.s20;23.s23;28.s28;32.s32;34.s34;3.s3;5.s5;6.s6;13.s13;15.s15;16.s16;17.s17;22.s22;24.s24;25.s25;29.s29;30.s30;31.s31;33.s33;7.s7;8.s8
mouse_id;4B;5B;10B;4C;9C;7D;13D;15D;5A;12A;13A;7B;13B;14B;15B;8C;11C;13C;9D;11D;12D;14D;14A;15A
Grouping;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Non-Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict;Addict
Verrucomicrobia;0;0,01;4,3;0,01;12,72;0,01;0,01;0,06;1,35;12,32;10,29;0,51;0,02;8,63;15,16;0,01;24,36;0,06;10,97;0;0,1;9,27;0,01;0
Tenericutes;0,07;0;0,21;0,01;0,01;0,06;0,02;0,08;0,27;0,12;0;0,02;0,11;0,32;0,03;0,07;0,43;0;0,61;0;0,06;1,75;0,7;0
Saccharibacteria;0,1;0,02;0;0,17;0,02;0;0,02;0,11;0;0,03;0,03;0,04;0,04;0,05;0,01;0,03;0,04;0,09;0,08;0,04;0;0,08;0;0,03
Proteobacteria;2,64;0,59;6,23;1,35;3,23;1,61;1,38;2,51;4,85;1,01;1,76;3,42;3,05;2,11;3,67;2,56;5,77;2,49;3,81;0,7;3,4;4,81;1,06;12,91
Firmicutes;49,52;54,72;39,21;55,79;43,38;51,62;58,39;61,69;48,01;58,21;48,89;63,52;49,93;58,93;38,25;58,04;19,5;49,81;46,47;61,08;50,68;42,46;53,12;49,64
Deferribacteres;0,82;0,95;1,26;0,42;0;0,08;0,56;0,65;0;0;0,52;0,38;0,43;0,74;0;0,38;0,7;0;0,65;0,33;0,26;0,24;0;0,56
Cyanobacteria;0,97;0,02;0,52;0,53;0,42;0,7;0,85;0,45;0,02;0,01;0,48;0,21;3,78;0,67;2,41;0,36;1,06;2,61;0,32;2,15;0,53;0,85;0,12;0,06
Bacteroidetes;45,76;43,46;48,18;41,62;40,08;45,71;38,66;34,34;44,93;28,01;37,87;31,83;42,55;28,43;40,35;38,41;48,02;44,86;37;35,66;44,85;40,51;44,79;36,61
Actinobacteria;0,11;0,23;0,08;0,1;0,15;0,21;0,12;0,12;0,56;0,27;0,16;0,08;0,1;0,13;0,13;0,14;0,12;0,08;0,1;0,04;0,11;0,03;0,2;0,17
