miRNA	5B	10B	9C	10C	2D	7D	8C	13C	9D	14A	7B	13B
mmu-miR-34c-3p	84	47.78	98.23	56.18	23.29	111.77	164.94	118.17	176.55	145.63	204.94	122.24
mmu-miR-876-5p	18.57	27.97	23.17	24.23	37.27	19.67	12.47	9.85	7.82	11.47	13.66	16.03
mmu-miR-34b-3p	302.4	138.67	296.53	182.85	68.71	311.17	490.04	346.44	411.21	401.33	601.16	351.68
mmu-miR-218-2-3p	52.17	103.71	72.28	78.21	90.84	64.38	53.7	51.03	44.7	53.89	54.65	46.09
mmu-miR-211-5p	72.5	372.9	23.17	103.54	147.91	7.15	15.34	41.18	58.11	24.08	14.47	17.03
mmu-miR-872-5p	4818.9	4029.69	5678.61	4801.39	4825.13	4966.2	5808.54	6957.44	5940.18	5822.8	5780.95	5496.6
mmu-miR-140-5p	2119.43	2019.5	2072.95	2230.51	2128.97	2175.51	2346.62	3335.49	2482.9	3122.39	2248.73	2611.03
mmu-miR-376a-3p	780.75	731.82	453.14	585.99	592.8	549.02	432.5	250.65	336.34	498.8	525.61	407.79
mmu-miR-137-5p	147.66	181.79	133.44	175.14	181.68	152.01	106.45	126.22	154.2	102.05	112.52	124.24
mmu-miR-128-1-5p	419.11	600.14	391.05	587.09	573.01	481.06	397.02	392.09	329.64	421.97	377.73	396.77
mmu-miR-6538	141.47	120.03	60.23	58.38	85.02	61.7	215.77	135.17	73.75	150.21	245.13	172.33
mmu-miR-329-5p	9119.65	8580.27	8529.04	8988.15	10966.31	9246.57	7474.29	7027.27	8335.92	7307.73	8494.21	7782.01
mmu-miR-200a-5p	14.15	90.9	20.39	15.42	402.97	10.73	23.02	13.43	8.94	20.64	10.45	11.02
mmu-miR-200b-5p	4.42	64.09	3.71	6.61	285.34	5.36	13.43	2.69	3.35	3.44	3.21	2
mmu-miR-582-3p	2386.46	2515.93	2548.33	3101.79	2945.39	2941.81	2278.54	2366	2262.77	2253.21	2263.2	2496.81
mmu-miR-126a-3p	48824.7	46483.56	50746.13	50375.49	48544.78	47691.23	56649.8	68286.26	55038.3	72493.69	48284.18	56903.73
mmu-miR-200a-3p	768.37	12598.31	1134.24	871.28	56516.78	803.86	2569.11	916.68	608.99	1645.47	1042.39	798.54
mmu-miR-182-5p	290.9	5740.38	750.6	482.45	25136.56	146.64	1163.24	371.51	298.35	603.15	301.38	395.76
mmu-miR-96-5p	26.53	576.83	60.23	40.76	3193.46	12.52	84.39	44.76	17.88	65.36	24.91	49.09
mmu-miR-10b-5p	94.61	106.04	130.66	143.19	178.19	120.71	287.69	92.2	320.7	707.5	78.76	250.48
mmu-miR-34b-5p	351.03	110.71	272.44	198.27	101.32	401.48	464.15	261.4	566.53	521.74	660.63	300.58
mmu-miR-3085-3p	193.64	376.4	271.51	223.6	303.97	248.58	211.93	195.15	221.25	147.92	208.96	181.35
mmu-miR-467e-5p	34.48	33.79	33.36	28.64	41.93	38.45	41.24	66.24	62.58	36.69	47.42	53.1
mmu-miR-674-5p	818.77	836.7	671.83	851.45	962	700.13	567.72	665.13	585.53	567.6	710.46	753.45
mmu-miR-429-3p	95.49	1616.3	127.88	80.41	5992.1	107.3	281.94	146.81	92.75	217.87	129.39	104.2
mmu-miR-184-3p	470.39	1244.56	305.8	543.03	812.92	428.31	326.05	392.09	367.63	402.48	262	441.85
mmu-miR-21a-5p	72168.49	52902.16	87596.9	63118.61	41103.85	80441.84	100857.8	97278.9	78276.07	107807.71	90887.06	79750.78
mmu-miR-15b-3p	15.03	10.49	7.41	4.41	12.81	24.14	42.2	13.43	16.76	26.37	38.58	21.04
mmu-miR-665-3p	351.91	420.68	329.89	394.33	447.22	332.63	258.92	255.13	305.05	258	361.66	337.65
mmu-miR-183-5p	220.17	3532.09	697.78	313.92	21661.25	110.88	1010.76	354.5	230.19	520.59	271.65	303.59
mmu-miR-200c-3p	36.25	708.52	105.64	63.89	3535.87	10.73	162.07	61.77	31.29	75.68	34.56	54.1
mmu-miR-27a-3p	7942.78	6954.65	7771.03	8132.29	7935.9	7384.92	8864.81	12598.06	8733.72	13250.93	7561.93	9172.69
mmu-miR-200b-3p	482.77	3915.48	738.55	402.04	20561.83	509.67	1435.59	499.52	359.81	900.14	700.02	471.91
mmu-miR-375-3p	850.6	327.46	758.94	543.03	499.63	820.84	1039.53	633.8	1214.63	970.08	1464.33	736.42
mmu-miR-185-5p	25083.01	27069.29	23845.92	27011.81	27376.17	24762.13	21301.81	23461.23	23628.87	20380.93	23697.65	24619.47
mmu-miR-34c-5p	17281.71	5048.18	16073.04	9033.31	4252.12	20971.77	27110.35	10724.42	24307.14	30457.88	34204.3	15786.44
mmu-miR-29b-2-5p	577.38	614.13	459.63	609.12	696.46	528.45	431.54	452.07	453.67	525.18	498.29	507.98
mmu-miR-5108	9.73	10.49	3.71	6.61	10.48	5.36	81.51	6.27	8.94	9.17	20.9	9.02
mmu-miR-124-5p	3764.93	5232.3	3786.36	4391.64	5106.97	4080.08	3986.48	3398.15	3287.44	3421.67	3939.7	3734.2
mmu-miR-3072-3p	142.36	293.66	142.71	164.12	178.19	112.66	100.69	132.49	105.04	88.29	127.79	147.28
mmu-miR-27b-3p	83983.18	63050.96	93421	77786.03	72556.28	91605.5	104789.62	106752.73	84997.33	106213.84	95903.7	87776.26
mmu-miR-574-5p	29.18	38.46	23.17	24.23	39.6	15.2	7.67	14.32	15.64	20.64	15.27	26.05
mmu-miR-141-3p	1.77	103.71	13.9	8.81	456.54	0	9.59	3.58	2.23	13.76	1.61	6.01
mmu-miR-1197-3p	96.38	83.9	95.45	84.81	97.83	78.69	70.96	59.98	73.75	58.48	89.21	66.13
mmu-miR-338-3p	91.96	65.26	69.5	80.41	54.74	99.25	94.94	128.01	77.1	116.96	111.71	96.19
mmu-miR-15b-5p	76.04	71.08	85.25	85.92	60.56	74.22	90.14	115.48	73.75	88.29	103.68	110.21
mmu-miR-25-3p	4680.08	2609.16	5479.38	4380.62	3498.6	4613	5333.84	5805.33	5425.05	5994.8	5309.99	4925.5
mmu-miR-6769b-3p	36.25	61.76	20.39	46.26	39.6	41.13	21.1	30.44	20.11	25.23	34.56	27.05
mmu-miR-195a-3p	201.6	122.36	199.23	179.54	165.38	192.25	187.96	248.86	234.66	314.19	199.32	198.38
mmu-miR-10a-5p	220.17	292.5	179.77	244.53	260.88	186.88	280.02	334.8	383.27	550.4	173.6	296.57
mmu-miR-7220-5p	11.49	9.32	21.31	6.61	16.31	14.31	8.63	6.27	5.59	4.59	9.64	9.02
mmu-miR-124-3p	77619.59	118733.58	70298.81	87603.6	114686.19	76895.58	61122.48	76313.46	59806.31	72248.3	72183.55	84568.07
mmu-miR-143-3p	157217.13	111263.86	134920.85	116138.77	114976.19	132433.11	246588.17	92061.71	223905.48	464705.63	102192.58	153302.61
mmu-miR-1839-5p	12078.19	13312.65	12233.86	12755.24	13882.58	12651.55	11955.6	10631.32	12470.36	11634.12	11473.5	11873.9
mmu-miR-29c-3p	2789.65	5909.35	2506.63	3271.42	3724.54	2602.02	2413.75	2734.82	2194.6	2438.97	2528.41	2921.63
mmu-miR-706	10.61	13.98	6.49	8.81	4.66	5.36	45.07	13.43	7.82	17.2	9.64	11.02
mmu-miR-7019-3p	19.45	22.14	15.75	18.73	17.47	19.67	12.47	16.11	11.17	6.88	12.86	14.03
mmu-miR-1191a	183.03	132.85	187.19	174.04	161.89	156.48	198.51	210.37	174.32	207.55	193.69	192.37
mmu-miR-544-3p	76.93	208.59	67.65	60.58	92.01	64.38	62.33	55.5	68.16	47.01	54.65	76.15
mmu-miR-137-3p	8075.41	13627.29	8158.38	11210.95	13848.81	7815.9	6825.06	8365.58	7420.76	8198.7	7049.98	10204.68
mmu-miR-145a-3p	1420.91	621.12	1197.25	1186.3	1158.82	1234.84	1702.19	1057.22	1822.5	3354.01	1054.44	1356.62
mmu-miR-100-5p	90012.55	73357.08	98568.63	86647.51	64770.62	92039.17	100973.84	97364.84	94731.13	107977.42	100226.75	91540.52
mmu-miR-582-5p	176.84	612.96	217.77	317.23	387.83	243.21	210.98	227.38	178.79	215.57	204.94	286.55
mmu-miR-344g-3p	35.37	39.62	37.07	34.15	45.42	33.08	17.26	29.54	31.29	24.08	29.74	34.07
mmu-miR-26b-5p	11117.06	5677.45	9779.12	9557.62	9449.94	10013.76	10184.36	13507.58	11405.46	12887.44	10562.92	10648.53
mmu-miR-182-3p	0.88	2.33	6.49	0	118.79	3.58	4.79	0	1.12	1.15	3.21	3.01
mmu-miR-540-5p	198.06	244.72	208.5	216.99	239.92	177.04	192.75	181.72	170.96	113.52	193.69	187.36
mmu-miR-192-5p	3816.21	3677.76	5282	4335.46	3422.89	4138.2	4917.65	4897.6	4607.1	5087.78	4601.13	4625.92
mmu-miR-127-5p	25044.11	34301.28	28836.95	26296.94	28126.2	27991.86	27154.47	20295.83	24545.15	23371.45	27127	25008.22
mmu-miR-138-5p	16958.09	41010.04	21083.53	20924.98	22668.67	17462.16	17512.89	18178.7	16152.24	16842.3	16873.5	20111.78
mmu-miR-135b-3p	38.02	61.76	35.21	41.86	53.57	22.35	34.52	31.33	31.29	17.2	24.11	34.07
mmu-miR-341-3p	28493.38	34068.21	30953.46	27333.44	27514.76	27982.92	26688.4	23533.74	26959.88	21926.64	28943.34	26813.7
mmu-miR-881-3p	2.65	8.16	4.63	9.91	9.32	5.36	51.78	8.95	5.59	10.32	6.43	8.02
mmu-miR-5621-3p	64.55	45.45	57.45	70.5	69.88	36.66	39.32	39.39	44.7	34.4	42.6	57.11
mmu-miR-874-3p	2206.08	3042.66	2035.89	2656.79	2512.14	2181.76	1839.32	2169.05	2118.62	1802.57	2139.43	2351.53
mmu-miR-3071-5p	541.13	597.81	573.61	555.15	654.53	512.36	503.46	429.69	472.67	466.7	589.91	522.01
mmu-miR-27b-5p	163.58	143.33	183.48	138.79	112.97	205.66	208.1	188.89	183.26	224.75	192.08	172.33
mmu-miR-3065-3p	99.03	46.61	89.89	59.48	57.07	100.15	101.65	128.91	70.4	131.87	90.01	99.19
mmu-miR-301a-3p	161.81	153.82	114.91	138.79	154.9	113.56	105.49	98.47	100.57	137.6	124.57	121.23
mmu-miR-210-5p	14.15	30.3	13.9	14.32	16.31	16.99	12.47	15.22	11.17	8.03	13.66	7.01
mmu-miR-7243-3p	8.84	3.5	10.19	4.41	0	9.84	12.47	9.85	10.06	18.35	11.25	8.02
mmu-miR-434-5p	45045.62	39848.22	48925.23	43674.03	41738.58	43781.04	44384.45	54234.41	47837.67	48696.82	48604.85	46275.23
mmu-miR-324-3p	400.54	649.08	502.25	503.38	561.36	446.19	443.05	410.89	417.91	397.89	469.36	455.88
mmu-miR-190b-5p	43.33	20.98	40.77	34.15	31.45	48.28	58.5	44.76	49.17	75.68	35.36	43.08
mmu-miR-764-3p	20.34	8.16	15.75	9.91	12.81	16.09	9.59	6.27	10.06	5.73	9.64	12.02
