label	11.s11	12.s12	14.s14	20.s20	23.s23	28.s28	32.s32	34.s34	3.s3	5.s5	6.s6	13.s13	15.s15	16.s16	17.s17	22.s22	24.s24	25.s25	29.s29	30.s30	31.s31	33.s33	7.s7	8.s8
mouse_id	4B	5B	10B	4C	9C	7D	13D	15D	5A	12A	13A	7B	13B	14B	15B	8C	11C	13C	9D	11D	12D	14D	14A	15A
Grouping	Non-Addict	Non-Addict	Non-Addict	Non-Addict	Non-Addict	Non-Addict	Non-Addict	Non-Addict	Non-Addict	Non-Addict	Non-Addict	Addict	Addict	Addict	Addict	Addict	Addict	Addict	Addict	Addict	Addict	Addict	Addict	Addict
Acetatifactor	0.02	0.01	0	0.09	0	0.05	0	0.12	0	0	0	0	0.05	0.02	0	0.02	0	0.04	0.01	0.01	0	0	0.03	0
Akkermansia	0	0.01	4.3	0.01	12.73	0.01	0.01	0.06	1.35	12.33	10.3	0.51	0.02	8.64	15.17	0.01	24.39	0.06	10.97	0	0.1	9.27	0.01	0
Alistipes	6.1	7.25	4.18	5.98	2.22	5.91	7.01	3.21	6.81	3.59	10.55	2.21	3.94	3.38	8.21	5.94	4.38	9.9	7.95	8.21	4.72	5.6	8.47	7.66
Allobaculum	0.5	0.09	0.02	0.02	0	0.28	0.13	0.03	0.55	0.28	0	0.11	0.01	0.19	0.1	0	0	0.08	0.06	0.07	0.04	0.05	0.02	0.07
Alloprevotella	5.13	3.5	12.78	1.57	3.55	0.94	1.17	10.95	4.19	1.09	8.53	7.18	7.42	1.45	2.24	2.97	2.31	5.87	1.87	0.44	1.8	2.37	5.49	1.98
Anaeroplasma	0	0	0.21	0.01	0	0	0.02	0.07	0	0	0	0	0.07	0.29	0.02	0.01	0.42	0	0.57	0	0	1.66	0.68	0
Anaerostipes	0	0	1.24	0	0.01	0	0	0	2.22	1.45	0	0	0	0	0.25	0	0	0	0	0	0.11	0.16	0	0
Anaerotruncus	1.68	0.77	1.03	1.98	1.11	0.8	1.15	1.48	0.48	0.71	1.47	1.3	2.46	1.47	0.57	1.37	0.05	1.33	1.42	1.24	1.68	0.29	0.99	1.3
